lcn50,,lcn40,,lcn35,,lcn30,,lcn60,,lcn70,,lcn80,,lcn90,,lcn100,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
5.157626524943544,61.922477373908855,4.403636911680869,53.4155640678526,3.9786136277530115,48.9996087494642,3.6390436715529413,44.785032750738935,5.867154853183458,69.6489982036661,6.56223031013297,77.7289710207627,7.2123371564405,85.41892012736054,7.84402005656512,93.19875771129786,8.540371256832731,99.97743932551927
5.304693039025239,60.53597320108381,4.497456696814841,52.62679793904734,4.063366843597594,48.33034093413779,3.7100734956165167,44.0681038995927,5.992167617728835,68.5627000746633,6.702062618303257,76.47366374534288,7.366037893187289,83.96861038969563,8.011137439549495,91.82252917917904,8.713094387216394,98.76015881496252
5.408827145895027,59.74132106958078,4.593278545972581,51.835112322778066,4.149942982932775,47.58991473064988,3.7891328375388467,43.34423212635995,6.119839757252657,67.51231187677448,6.844864947036019,75.28092300266,7.522987689778001,82.65897282542566,8.181832514680785,90.39039599391812,8.901885263613021,97.14384297274057
5.529877875371248,58.86001739944703,4.691148546633538,51.02665294812592,4.238369712563156,46.834505056946924,3.842789011186562,42.79605800515165,6.250232143647134,66.4780157430118,6.966203136519652,74.23858935558815,7.683287048393901,81.34690097062018,8.356170498270487,88.95560082922596,9.088385691504865,95.56914640865241
5.647672461713819,58.07238496644514,4.7911139832737915,50.188478611516146,4.328668468733593,46.14291877693774,3.9802016471365746,41.77146490512747,6.383420675012444,65.38603413094762,7.266244502284718,71.87017181587743,7.8469965428167825,80.07815355710879,8.53425924024791,87.39611493148793,9.309287124676661,93.73941481904937
5.788310486769096,57.02507805386964,4.945056515636745,49.01201674178526,4.420900364024915,45.42323913147405,4.06498012348751,41.235668707692795,6.519424468770956,64.4024063072233,7.4210523376280335,70.80889392451665,8.014205492659952,78.78490745540012,8.716100587147325,86.03301943003396,9.563508302334814,91.79361431851252
5.911626683653992,56.19880042603627,5.050414830671424,48.27470970053679,4.51508794819002,44.75249244719273,4.151567302007561,40.69530875232452,6.658325930231223,63.4335755836514,7.579174339139454,69.70450518999334,8.18495443847652,77.59971511130598,8.901841484394541,84.59604982070992,10.350226606181556,86.84948404061085
6.026970599975674,55.46099077163254,5.158010639678744,47.57522249285555,4.611291924511267,44.05449893590861,4.240022684706842,40.07185209183225,6.800191574083448,62.461766143964816,7.740665481067149,68.61734133230887,8.359364816855576,76.34649529287161,9.091495825138947,83.34685401245191,10.664101029584115,84.71629189208646
6.1662268874719475,54.47473817740361,5.26792461504424,46.79374206550809,4.709539122650107,43.391769784499765,4.330377954237268,39.40255053730386,6.945074999357344,61.52212923350283,7.905591996203683,67.56611602426995,8.537467653310353,75.19798494181542,9.285223382062194,82.00081905468518,10.866055536928899,82.87833497152845
6.242574160120358,53.82982487596083,5.380169448532144,46.0639116908319,4.809882933824696,42.72700304081092,4.422643166700367,38.79889907658203,7.093065213305845,60.52855919890781,8.074049536405337,66.4749368165268,8.719371236612764,74.04594344108853,9.483099000426352,80.60854453056116,11.217908226357943,80.66342028759995
6.542044727083413,51.87487408722587,5.494794326052522,45.38370445280948,4.912378525871838,42.02516046717665,4.516874228223484,38.20449562344001,7.24419363115674,59.601254933636554,8.24610826729261,65.36463678730638,8.905156805711037,72.89106724911383,9.685164290194797,79.3290197685156,11.460973739372927,79.3388182543482
6.685320727093347,51.138009380105764,5.611857351697457,44.726107112528155,5.017047660295549,41.36970447550477,4.613106542119532,37.64034521818398,7.398568057132015,58.605762823925545,8.451434582871558,64.23994605622052,9.094881779602499,71.81471420591589,9.891556023202119,78.00402395527983,11.705150567576418,78.16725386800245
6.827732753891131,50.43953392914945,5.731418355817069,44.06565469609641,5.123943403162916,40.735915997456246,4.711399022274511,37.053278101066695,7.556232216182994,57.62689795707377,8.631456588575684,63.39813372549617,9.288681486664588,70.65492099058051,10.102338885241426,76.72271375258876,11.996648431947543,76.71442272036876
6.973217663129611,49.63889135429296,5.853530727802763,43.4027577242002,5.233142456981351,40.03301929991637,4.811779080798263,36.49587106782451,7.717229103340254,56.74404746505498,8.830853652415449,62.37580737587587,9.48659081003683,69.57247973534324,10.317606149186805,75.48365733001177,12.252280886352017,75.47550019629743
7.121767531036443,48.94713652007581,5.978274200815507,42.6658315013556,5.3446424243619335,39.41970898756436,4.914318531196618,35.886297465297126,7.881695033167791,55.76493106146843,9.003231581141874,61.34969401374962,9.6887373100745,68.44889815650761,10.537453065912912,74.28548151321738,12.557324745638546,74.26025466782761
7.273497274640777,48.22435386182286,6.105650320205079,42.01218621297966,5.458537241137039,38.76129987675088,5.019025475528932,35.33651539308546,8.049575496323579,55.04964281192292,9.195065425307433,60.39283807122548,9.895170424195282,67.40025341667395,10.761992028248235,73.08578590195427,12.91490814384175,73.68671865072999
7.428553573498948,47.27254773612667,6.235744760351321,41.35693257752856,5.574839583245178,38.16747244753598,5.116978687471824,34.804074559567205,8.221060700255254,54.26723477315954,9.390980117753143,59.46761306873951,10.105994805995085,66.38632490016629,10.991338780587414,71.84487783591389,13.08266152472499,72.36623094990344
7.586835405500138,46.535249548307974,6.368611151472377,40.71189877031007,5.693611921279916,37.60386874861253,5.235183392362634,34.25246463531836,8.39622865667567,53.42084218861927,9.591075805644182,58.54011147533631,10.321318218357675,65.36927901223578,11.225517890621083,70.7640870864711,13.325202638063098,71.95503820479945
