Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108
25,,30,,35,,40,,45,,50,,55,,60,,65,,70,,75,,80,,85,,90,,95,,100,,110,,120,,130,,140,,150,,160,,170,,5,,8,,10,,15,,20,,025,,030,,035,,040,,045,,050,,055,,060,,065,,070,,075,,080,,085,,090,,095,,0100,,0110,,0120,,0130,,0140,,0150,,0160,,0170,,0180,,0190,,0200,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.751906231,0.21679552,0.583473757,0.232193778,0.47292819,0.196524359,0.393120901,0.039362955,0.326822433,0.096704449,0.267844871,0.091846501,0.217291037,0.136898115,0.174803488,0.152225541,0.122584553,0.225313161,0.057030786,0.119778226,0.017265068,0.188657199,0.008909751,0.939466927,0.01946777,1.905342675,0.008164321,2.476673951,0.011093762,3.185202414,0.007121224,3.620912534,0.009275721,4.788880097,0.013088885,5.909950459,0.014095301,6.740382132,0.007233376,7.395703374,0.015759871,8.432493061,0.010816334,8.983638472,0.014647206,,2.106593242,-0.12039463,2.03592538,-0.174685722,1.973059457,-0.194687486,1.884673168,-0.052089748,1.795095195,-0.09966624,1.732793381,-0.100818961,1.674960074,-0.057736021,1.61263743,-0.108929175,1.566639221,-0.078662903,1.516588915,-0.046789584,1.466998606,-0.055276197,1.446021524,-0.050618264,1.407453617,0.075660535,1.375751344,0.086848103,1.335647492,-0.040465793,1.314005796,0.085705674,1.270590566,0.0213221,1.24894838,0.146316145,1.210522638,0.041404143,1.187182002,0.095133283,1.155462576,0.065111082,1.107077709,0.088941526,1.051678006,0.098513225,1.005529638,0.238948926,1.000748281,1.224943761,1.007868244,2.293577698,1.011588121,3.212028583,1.003498062,3.821925955,1.007164947,4.61306809,1.015908373,5.572821372,1.014570394,6.367550321
0.77109929,0.335918542,0.605024911,0.484596541,0.487908536,0.34813982,0.406376074,0.270929469,0.343070755,0.29189302,0.279682798,0.364924564,0.223344178,0.372279368,0.184503025,0.39225303,0.131632597,0.594529011,0.068891622,0.32322767,0.023363573,0.377981406,0.007760686,1.136187257,0.060794761,2.83002326,0.026271652,2.836593,0.040170617,3.715615957,0.015099749,3.828417154,0.067453042,5.856648795,0.055757763,6.694600547,0.023583942,6.857315241,0.032235378,7.797201262,0.034844667,8.793422952,0.009795161,9.217959201,0.031232195,,2.11838143,0.135910782,2.053992059,0.083249673,1.988181321,0.052260303,1.899798218,0.202511285,1.804635038,0.10067046,1.739562307,0.124486495,1.686195671,0.207389764,1.631080473,0.098636731,1.577580407,-0.13901313,1.531811583,0.155965036,1.478642458,0.045187538,1.454219186,0.170718833,1.42601747,0.573460956,1.387535856,0.33432285,1.348762386,0.195848147,1.321628236,0.356946025,1.265765018,0.455698175,1.260719414,0.361411789,1.218954115,0.251728346,1.206023498,0.458125064,1.162229665,0.286001206,1.115522908,0.332233544,1.058778854,0.319409525,1.013761725,0.415713172,1.011683078,1.435608634,1.022969523,2.491073765,1.00818436,3.053014865,1.020243941,3.961317689,1.013924071,4.814825107,1.034357052,5.793927631,1.029663097,6.544441504
0.790625338,0.527485788,0.602821927,0.218737518,0.503518801,0.557254738,0.407501528,0.525449345,0.351988307,0.77547134,0.293240389,0.609037925,0.23970655,0.639180223,0.196279312,0.662481255,0.146593913,0.793155923,0.077269284,0.590805863,0.031363742,0.591849171,0.021577013,0.921823663,0.095998651,3.558148791,0.039903027,3.102398898,0.067677345,3.784412292,0.027075998,4.035252405,0.106485837,6.64138152,0.067157905,6.838969552,0.0722618,7.804969257,0.079282115,8.799851026,0.047368998,9.039212688,0.057479393,9.873487039,0.047031952,,2.126791587,0.295017129,2.065690033,0.237370797,2.003309679,0.314808934,1.91493748,0.491257554,1.81640791,0.320181436,1.753272659,0.416780615,1.699648982,0.454895388,1.63952996,0.352231191,1.586117377,0.324751151,1.549446079,0.425624513,1.487627015,0.24786879,1.464312845,0.365178716,1.429335218,0.525837119,1.397624614,0.517008513,1.362555338,0.457489009,1.326407837,0.480368459,1.277336336,0.190994369,1.270815523,0.561758781,1.235745022,0.499295723,1.216073888,0.777726317,1.168984501,0.477455781,1.130651143,0.594487819,1.07055969,0.558053607,1.027192981,0.610234808,1.025963436,1.665468366,1.034728305,2.67673386,1.026654481,3.325633335,1.032013138,4.171998,1.027295902,4.866584329,1.046057021,5.83829709,1.034765062,6.774131416
0.80278876,0.74353166,0.625725509,0.537845081,0.519868734,0.801407942,0.420436381,0.739204958,0.356497994,0.497682897,0.304896316,0.828607728,0.253394984,0.832670775,0.203145032,0.848275629,0.156462296,1.140521174,0.092132362,0.817823438,0.038140077,0.904091858,0.036634881,1.607018629,0.119286894,3.812164967,0.038978265,2.830519089,0.073438411,4.409074747,0.040398856,4.317263662,0.123376995,6.796472837,0.071325233,6.995073187,0.105372188,8.452150632,0.121551575,9.467072175,0.060956102,9.292003064,0.072092589,9.893402854,0.06103874,,2.146970327,0.66333201,2.066803055,0.50584153,2.013412527,0.531345478,1.926710352,0.71076853,1.831531857,0.572133269,1.768731363,0.709317336,1.71646562,0.764277418,1.651294255,0.551137283,1.597877997,0.514826577,1.561215888,0.637776602,1.500405455,0.477700734,1.474404053,0.553751489,1.446118407,0.7548601,1.412735695,0.738053019,1.37606501,0.840398159,1.340934471,0.63370091,1.293034315,0.48563804,1.280916533,0.773879994,1.247523408,0.732052696,1.226254925,0.953012806,1.180743037,0.662527164,1.140759505,0.82427036,1.082631962,0.924115978,1.03896769,0.834161116,1.04276966,1.94983018,1.046498113,2.888885948,1.040089412,3.528985635,1.06732869,4.823172041,1.05079141,5.18492053,1.066225224,6.181297399,1.054811475,6.824542367
0.811138173,1.060077438,0.627155938,0.691118357,0.514844667,0.546150225,0.436475282,0.811733,0.374347854,0.93463259,0.316558801,1.050105757,0.26320954,1.096332015,0.215980521,1.147364079,0.165001581,1.394101204,0.105620103,1.041401196,0.052467974,1.094675315,0.047721054,1.888171629,0.124126347,4.130236798,0.05171636,3.368246116,0.087355084,4.758758459,0.052153162,4.56575685,0.132932041,7.111111049,0.094460005,7.382150702,0.126440512,8.766237922,0.13469499,9.767599907,0.072671056,9.528926897,0.103766645,10.11830282,0.072714343,,2.232732118,2.233821475,2.083571908,0.700424919,2.031855325,0.738322674,1.94182511,0.9406437,1.844975059,0.795354565,1.782947028,0.917393734,1.732117039,0.947066002,1.664734333,0.766852513,1.609668635,0.777019099,1.576311858,0.822517264,1.515638,0.723276923,1.482853173,0.806462882,1.459874968,0.929077382,1.426159906,0.915649214,1.372641645,0.634287563,1.349374034,0.863452575,1.304242956,0.686005617,1.296001885,0.933109847,1.260957114,0.932461441,1.239354626,1.152826665,1.18941932,0.888246365,1.152512772,0.996684457,1.078969847,0.717159955,1.053597597,1.044684105,1.059578333,2.240079103,1.060765606,3.087838354,1.055206743,3.765042271,1.087398383,4.929510535,1.072599741,5.45907253,1.096463745,6.662682869,1.074924052,7.033905283
0.815588833,0.764934965,0.642932463,1.053053188,0.523838462,1.052144167,0.44362231,0.988595361,0.382560029,1.210830247,0.328660712,1.400794901,0.271669841,1.350024033,0.223779505,1.435719887,0.166705995,1.627926103,0.108778064,1.301660003,0.059216764,1.297001272,0.077893006,2.511452845,0.134897651,4.303545715,0.061396839,3.541579824,0.081182795,4.547741713,0.065705833,4.808424041,0.136066392,6.785337334,0.106096257,7.595935829,0.138197278,9.015454194,0.141281455,9.922202281,0.083496666,9.771656068,0.11356518,10.32634459,0.08628669,,2.251234708,2.58444415,2.164273392,2.141305339,2.039455342,0.95569597,1.951233385,1.092174202,1.856753138,1.027375649,1.796726011,1.14547807,1.740003399,1.184166262,1.678165956,0.962257216,1.627551245,0.974566627,1.589785794,1.119572729,1.528813075,0.970532104,1.497926517,0.936845897,1.469643321,1.143841619,1.436291241,1.20062341,1.387934677,1.292449973,1.36400044,1.065565407,1.311010453,0.907876925,1.310276729,1.149723582,1.272739788,1.175520856,1.256167588,1.453378031,1.202616245,1.092540397,1.162622972,1.230882331,1.099144299,1.075172394,1.062524461,1.299675062,1.073020617,2.461092732,1.075022072,3.260298766,1.072507847,3.901942276,1.104194804,5.190323909,1.089376681,5.673083381,1.096390536,6.486805464,1.095036628,7.243268199
0.83368464,1.0960113,0.641862593,0.738511387,0.539894547,1.258693857,0.453789436,1.245609469,0.398272805,1.340204544,0.340257612,1.603010674,0.277840725,1.579718496,0.247482415,1.767102672,0.182455115,1.790894615,0.11842903,1.599953059,0.070912042,1.528140429,0.091729008,2.837419382,0.14827324,4.494150815,0.074973121,3.791188627,0.102987485,4.900138714,0.077440463,5.051132551,0.146956931,7.314428665,0.123446352,7.809591095,0.151602381,9.21473631,0.15425861,9.995667676,0.098097662,9.94834902,0.129821302,10.82928092,0.101230832,,2.266304948,2.70737016,2.174392781,2.397579874,2.057053694,1.138520577,1.963694091,1.360501669,1.87018807,1.230727949,1.810166456,1.362076368,1.753445682,1.405179892,1.689944955,1.196485966,1.641029061,1.280943349,1.603229915,1.345001691,1.536069225,1.163614897,1.509705515,1.171074647,1.483087442,1.369270581,1.448051248,1.38922706,1.38946931,0.970161587,1.379605387,1.327618249,1.323753932,1.053719436,1.307668772,0.898003323,1.286189422,1.414195816,1.267940583,1.673183362,1.213290981,1.346617558,1.17438788,1.4312602,1.111786183,1.377854234,1.075977772,1.547180686,1.084784912,2.659998824,1.093475652,3.493179245,1.084568041,4.143535059,1.114285399,5.377424904,1.106141123,5.857069972,1.114883324,6.813879699,1.110984866,7.470951142
0.844009009,1.369557646,0.662708089,1.25435994,0.555757342,1.42538568,0.456070327,1.593766997,0.407509399,1.520490489,0.355956629,1.789430738,0.2788574,1.725893737,0.25718257,1.946221057,0.194717618,2.036070467,0.137270549,2.099359554,0.082626997,1.765064262,0.104929483,2.976540859,0.163732494,4.762807733,0.090576008,4.102073686,0.115784607,5.098856135,0.080102595,4.764708412,0.185039387,7.819761502,0.133995713,8.100921585,0.16319928,9.416952082,0.171038108,10.29611277,0.109412608,10.17457947,0.128994919,10.5863245,0.118913054,,2.278392016,2.879888551,2.191166535,2.603937483,2.066303151,1.309416582,1.995585972,1.804829224,1.883630353,1.451741579,1.823612415,1.591920662,1.766893479,1.639439519,1.701698835,1.370371841,1.65670131,1.513772367,1.61667036,1.561599988,1.553169632,1.352906062,1.519808363,1.387611192,1.496518698,1.563792216,1.463175807,1.64265067,1.394710955,1.535416759,1.393053184,1.561877876,1.336179865,1.238508814,1.317896229,1.413899402,1.297965725,1.641948745,1.273028336,1.868728037,1.222823473,1.529292929,1.184479088,1.619832973,1.127732583,1.601121844,1.087763264,1.797010277,1.100724879,2.867812771,1.106300406,3.567004837,1.103584889,4.297791599,1.132702221,5.521998736,1.122926149,6.090508285,1.13331681,6.998485878,1.13025416,7.658957846
